學校校名,學校地址,經度,緯度,總人數,男生數,女生數
國立師大附中,[106]臺北市大安區和安里信義路3段143號,121.54039640809,25.033675050805,3096,2063,1033
國立政大附中,[116]臺北市文山區政大一街353號,121.58597105928,24.987212739555,687,344,343
市立西松高中,[105]臺北市松山區鵬程里健康路325巷7號,121.56709860523,25.055571172624,1082,689,393
市立中崙高中,[105]臺北市八德路四段101號,121.56106914719,25.0487047556,1101,572,529
市立松山高中,[110]臺北市信義區基隆路一段156號,121.56582514848,25.043878122073,2299,1174,1125
市立永春高中,[110]臺北市信義區松隆里松山路654號,121.57866218498,25.032709616647,1669,774,895
市立和平高中,[106]臺北市大安區芳和里臥龍街100號,121.54914594357,25.019638824751,1458,842,616
市立中山女中,[104]臺北市中山區力行里長安東路2段141號,121.53716133751,25.048531577002,2507,0,2507
市立大同高中,[104]臺北市中山區中央里長春路167號,121.53510842333,25.054986281141,1757,852,905
市立大直高中,[104]臺北市中山區劍潭里北安路420號,121.54285005356,25.079432020664,1065,562,503
市立建國中學,[100]臺北市中正區龍光里南海路56號,121.51217742374,25.031210046077,3285,3285,0
市立成功中學,[100]臺北市中正區幸福里濟南路1段71號,121.52381111725,25.042394466536,2573,2573,0
市立北一女中,[100]臺北市中正區黎明里重慶南路1段165號,121.51301485242,25.038606444996,2682,0,2682
市立明倫高中,[103]臺北市大同區保安里承德路3段336號,121.51988951637,25.075532659557,1675,803,872
市立成淵高中,[103]臺北市大同區承德路二段235號,121.51852720981,25.061274893712,1287,725,562
市立華江高中,[108]臺北市萬華區日善里西藏路213號,121.49616871883,25.028526494616,1749,770,979
市立大理高中,[108]臺北市萬華區綠堤里長順街2號,121.49129850416,25.030891572089,951,472,479
市立景美女中,[116]臺北市文山區樟新里木新路3段312號,121.55622836242,24.98074172444,2202,0,2202
市立萬芳高中,[116]臺北市文山區興隆路3段115巷1號,121.55878117209,25.00055877299,1163,585,578
市立南港高中,[115]臺北市南港區西新里向陽路21號,121.59504813989,25.05248276287,1043,526,517
市立育成高中,[115]臺北市南港區重陽路366號,121.60916842446,25.058684034244,1912,954,958
市立內湖高中,[114]臺北市內湖區紫陽里文德路218號,121.58652189782,25.078402685354,2173,1083,1090
市立麗山高中,[114]臺北市內湖區環山路二段100號,121.57792776763,25.084112059541,941,519,422
市立南湖高中,[114]臺北市內湖區康寧路三段220號,121.61112955772,25.066902322984,1699,875,824
市立陽明高中,[111]臺北市士林區後港里中正路510號,121.5172056408,25.091851020612,1364,663,701
市立百齡高中,[111]臺北市士林區義信里承德路4段177號,121.52304842829,25.087014872889,909,450,459
市立復興高中,[112]臺北市北投區復興四路70號,121.50180497158,25.143704557295,2258,1009,1249
市立中正高中,[112]臺北市北投區文林北路77號,121.51656601071,25.104496746596,2411,1323,1088
私立協和祐德中學,[110]臺北市信義區忠孝東路5段790巷27號,121.58348115771,25.042623168912,199,100,99
私立延平中學,[106]臺北市大安區和安里建國南路1段275號,121.53835643857,25.03633783474,1431,878,553
私立金甌女中,[106]臺北市大安區光明里杭州南路2段1號,121.52423929648,25.03492980937,381,0,381
私立復興實驗高中,"[106]臺北市大安區敦化南路1段262 號",121.54688222136,25.039882584738,417,208,209
私立中興中學,[104]臺北市中山區力行里朱崙街42號,121.54193695417,25.04989142528,61,37,24
私立大同高中,[104]臺北市中山區聚英里中山北路3段40號,121.52220959172,25.066840138415,872,476,405
私立強恕中學,[100]臺北市中正區板溪里汀州路二段143號,121.52016818588,25.024863515271,237,221,16
私立靜修女中,[103]臺北市大同區雙連里寧夏路59號,121.51536950866,25.057910631218,1274,0,1274
私立立人高中,[108]臺北市萬華區桂林路171號,121.4964620456,25.038748144578,45,37,8
私立東山高中,[116]臺北市文山區老泉里老泉街26巷3號,121.5609499158,24.974180136182,1799,1073,726
私立滬江高中,[116]臺北市文山區景美里羅斯福路6段336號,121.5391658845,24.989781268268,213,140,73
私立大誠高中,[116]臺北市文山區萬興里秀明路2段175號,121.57821776784,24.990979851816,4,4,0
私立再興中學,[116]臺北市文山區明義里興隆路4段2號,121.55911223996,24.990447396983,886,497,389
私立景文高中,[116]臺北市文山區木新里保儀路127號,121.56739379777,24.985369113496,627,367,260
私立文德女中,[114]臺北市內湖區紫陽里成功路3段70號,121.58975379708,25.077576039971,284,0,284
私立方濟中學,[114]臺北市內湖區紫星里成功路三段61號,121.59018289386,25.077320489808,508,366,142
私立達人女中,[114]臺北市內湖區湖濱里內湖路2段314號,121.58763005008,25.081257592461,392,0,392
私立泰北高中,[111]臺北市士林區福林里福林路240號,121.53403631352,25.097467830651,133,85,48
私立衛理女中,[111]臺北市士林區翠山里至善路2段321號,121.55226469604,25.101724590275,562,0,562
私立華興中學,[111]臺北市士林區芝山里仰德大道1段101號,121.53820815362,25.104604096603,248,133,115
私立薇閣高中,[112]臺北市北投區中心里珠海路50號,121.50456876613,25.139957559481,1020,511,509
私立奎山實中,[112]臺北市北投區榮華里明德路200號,121.5220640857,25.112971008792,95,51,44
市立松山家商,[110]臺北市信義區松山路655號,121.58016396365,25.034829631616,64,50,14
市立松山工農,[110]臺北市信義區忠孝東路5段236巷15號,121.57204113711,25.039852494419,418,280,138
市立大安高工,[106]臺北市大安區龍圖里復興南路2段52號,121.54330332542,25.031972253101,430,310,120
市立木柵高工,[116]臺北市文山區萬芳里木柵路4段77號,121.57187614326,24.995887992512,421,252,169
市立南港高工,[115]臺北市南港區南港里興中路29號,121.6071919386,25.056334702338,337,208,129
市立內湖高工,[114]臺北市內湖區港墘里內湖路1段520號,121.57544776286,25.079736952696,65,65,0
