FIELD_1,FIELD_2,經,緯,FIELD_5,FIELD_6,FIELD_7,X,Y
??????????????????,[106]?????????????????�??????????????????3???143???,121.5403964100,25.0336750510,"3096","2063","1033",304533.2566800000,2769616.3056999999
??????????????????,[116]?????????????????�????????�???353???,121.5859710600,24.9872127400,"687","344","343",309154.7040300000,2764489.0049000001
??????????????????,[105]?????????????????�??????????????????325???7???,121.5670986100,25.0555711730,"1082","689","393",307217.7601900000,2772052.6716999998
??????????????????,[105]????????????????????????101???,121.5610691500,25.0487047560,"1101","572","529",306612.5555500000,2771289.5693999999
??????????????????,[110]?????????????????�???????????�???156???,121.5658251500,25.0438781220,"2299","1174","1125",307094.6871100000,2770756.9408000000
??????????????????,[110]?????????????????�??????????????????654???,121.5786621800,25.0327096170,"1669","774","895",308395.3266700000,2769525.3265000000
??????????????????,[106]?????????????????�??????????????????100???,121.5491459400,25.0196388250,"1458","842","616",305422.5236600000,2768065.1288000001
??????????????????,[104]?????????????????�?????????????????????2???141???,121.5371613400,25.0485315770,"2507","0","2507",304200.2581000000,2771260.5981999999
??????????????????,[104]?????????????????�??????????????????167???,121.5351084200,25.0549862810,"1757","852","905",303990.2850700000,2771974.7373000002
??????????????????,[104]?????????????????�??????????????????420???,121.5428500500,25.0794320210,"1065","562","503",304760.5296300000,2774685.6063999999
??????????????????,[100]?????????????????�??????????????????56???,121.5121774200,25.0312100460,"3285","3285","0",301686.5644800000,2769332.2001999998
??????????????????,[100]?????????????????�??????????????????1???71???,121.5238111200,25.0423944670,"2573","2573","0",302855.8104400000,2770575.5375000001
???????????�??????,[100]?????????????????�?????????????????????1???165???,121.5130148500,25.0386064450,"2682","0","2682",301767.9710900000,2770151.7837000000
??????????�???????,[103]?????????????????�??????????????????3???336???,121.5198895200,25.0755326600,"1675","803","872",302445.9822200000,2774244.5847000000
??????????????????,[103]?????????????????�???????????????235???,121.5185272100,25.0612748940,"1287","725","562",302314.6074200000,2772664.7847000002
??????????????????,[108]?????????????????�??????????????????213???,121.4961687200,25.0285264950,"1749","770","979",300072.1029700000,2769028.9416000000
??????????????????,[108]?????????????????�??????????????????2???,121.4912985000,25.0308915720,"951","472","479",299579.6548800000,2769289.1173000000
??????????????????,[116]?????????????????�??????????????????3???312???,121.5562283600,24.9807417240,"2202","0","2202",306155.0081300000,2763759.6003000000
??????????????????,[116]?????????????????�?????????3???115???1???,121.5587811700,25.0005587730,"1163","585","578",306403.6925600000,2765955.6963999998
??????????????????,[115]?????????????????�??????????????????21???,121.5950481400,25.0524827630,"1043","526","517",310039.3140800000,2771722.6918000001
??????????????????,[115]?????????????????�?????????366???,121.6091684200,25.0586840340,"1912","954","958",311460.9673700000,2772415.9262999999
??????????????????,[114]?????????????????�??????????????????218???,121.5865219000,25.0784026850,"2173","1083","1090",309166.5599200000,2774589.9953000001
??????????????????,[114]?????????????????�???????????????100???,121.5779277700,25.0841120600,"941","519","422",308296.8867300000,2775218.6693000002
??????????????????,[114]?????????????????�???????????????220???,121.6111295600,25.0669023230,"1699","875","824",311654.7240100000,2773327.1324999998
??????????????????,[111]?????????????????�??????????????????510???,121.5172056400,25.0918510210,"1364","663","701",302168.3131600000,2776051.0652000001
??????????????????,[111]?????????????????�??????????????????4???177???,121.5230484300,25.0870148730,"909","450","459",302759.7342100000,2775517.6527999998
??????????????????,[112]?????????????????�????????????70???,121.5018049700,25.1437045570,"2258","1009","1249",300593.5343400000,2781788.8314999999
??????????????????,[112]?????????????????�????????????77???,121.5165660100,25.1044967470,"2411","1323","1088",302098.4384700000,2777451.5370999998
????????????????????????,[110]?????????????????�????????????5???790???27???,121.5834811600,25.0426231690,"199","100","99",308876.9082900000,2770625.4988000002
??????????????????,[106]?????????????????�?????????????????????1???275???,121.5383564400,25.0363378350,"1431","878","553",304326.2196400000,2769910.4301999998
??????????????????,[106]?????????????????�?????????????????????2???1???,121.5242393000,25.0349298090,"381","0","381",302902.2190800000,2769748.8791999999
????????????????????????,[106]?????????????????�????????????1???262 ???,121.5468822200,25.0398825850,"417","208","209",305184.9976300000,2770306.5150000001
??????????????????,[104]?????????????????�??????????????????42???,121.5419369500,25.0498914250,"61","37","24",304681.5298700000,2771413.1441000002
??????????????????,[104]?????????????????�?????????????????????3???40???,121.5222095900,25.0668401380,"872","476","405",302683.7521800000,2773282.6524000000
??????????????????,[100]?????????????????�???????????�????????????143???,121.5201681900,25.0248635150,"237","221","16",302495.6693400000,2768632.2995000002
??????????????????,[103]?????????????????�????�?????????????59???,121.5153695100,25.0579106310,"1274","0","1274",301997.4387400000,2772290.9226000002
??????????????????,[108]?????????????????�?????????171???,121.4964620500,25.0387481450,"45","37","8",300097.5538700000,2770161.2511999998
??????????????????,[116]?????????????????�?�????????�???????26???3???,121.5609499200,24.9741801360,"1799","1073","726",306634.6953900000,2763034.7692000000
??????????????????,[116]?????????????????�?????????????????????6???336???,121.5391658800,24.9897812680,"213","140","73",304428.4224600000,2764753.9090000000
??????????????????,[116]?????????????????�???????????�??????2???175???,121.5782177700,24.9909798520,"4","4","0",308370.2007300000,2764902.9109999998
??????????????????,[116]?????????????????�??????????????????4???2???,121.5591122400,24.9904473970,"886","497","389",306441.7296900000,2764835.8459999999
??????????????????,[116]?????????????????�??????????????�???127???,121.5673938000,24.9853691130,"627","367","260",307280.1140200000,2764276.8215000001
??????????????????,[114]?????????????????�??????????????????3???70???,121.5897538000,25.0775760400,"284","0","284",309492.9910700000,2774499.8489999999
??????????????????,[114]?????????????????�????????????????????????61???,121.5901828900,25.0773204900,"508","366","142",309536.4019300000,2774471.7315000002
??????????????????,[114]?????????????????�??????????????????2???314???,121.5876300500,25.0812575920,"392","0","392",309276.9747000000,2774906.7096000002
??????????????????,[111]?????????????????�??????????????????240???,121.5340363100,25.0974678310,"133","85","48",303863.5226100000,2776679.8232999998
??????????????????,[111]?????????????????�??????????????????2???321???,121.5522647000,25.1017245900,"562","0","562",305700.1666100000,2777158.7231999999
