district,type,name,address,tel,website,twd97E,twd97N,update_date
石門區,其他機關,石門區農會,新北市石門區中央路2號,02-26381005,,304767.0,2797981.0,"2015-02-24 06:00:00.297"
瑞芳區,高中職,市立瑞芳高工,新北市瑞芳區瑞芳街60號,02-24972516,www.jfvs.ntpc.edu.tw,331052.767,2778254.948,"2015-02-24 06:00:00.297"
五股區,公所,五股區公所,新北市五股區中興路四段50號,02-22916051,www.wugu.ntpc.gov.tw,294192.888,2775046.236,"2015-02-24 06:00:00.297"
石門區,警察機關,乾華派出所,新北市石門區草里里阿里荖14之1號,02-26381274,www.jinshan.police.ntpc.gov.tw,311282.0,2796925.0,"2015-02-24 06:00:00.297"
石門區,警察機關,老梅派出所,新北市石門區老梅里老梅路26號,02-26381253,www.jinshan.police.ntpc.gov.tw,304952.0,2797903.0,"2015-02-24 06:00:00.297"
石門區,警察機關,石門分駐所,新北市石門區尖鹿里中山路64號,02-26381244,www.jinshan.police.ntpc.gov.tw/,307164.0,2798147.0,"2015-02-24 06:00:00.297"
石門區,警察機關,保安第二總隊第二大隊第二中隊,新北市石門區小坑12號,02-26381081,,309327.0,2796732.0,"2015-02-24 06:00:00.297"
石門區,警察機關,保安乾華分隊,新北市石門區小坑12號,02-26381392,,309326.0,2796715.0,"2015-02-24 06:00:00.297"
石門區,警察機關,保安茂林分隊,新北市石門區小坑12號,02-26381393,,309338.0,2796716.0,"2015-02-24 06:00:00.297"
石門區,公所,石門區公所,新北市石門區中山路66號,02-26381721,www.shimen.ntpc.gov.tw,307184.635,2798154.375,"2015-02-24 06:00:00.297"
石門區,其他機關,新北市石門區調解委員會,新北市石門區中山路66號,02-26381721,,307125.239253,2798125.684759,"2015-02-24 06:00:00.297"
石門區,警察機關,保安警察第二總隊二大二中,新北市石門區茂林社區260號,02-26381081,,309763.984,2795833.779,"2015-02-24 06:00:00.297"
石門區,警察機關,保安警察第二總隊茂林分隊,新北市石門區茂林社區260號,02-26381393,,309763.984,2795833.779,"2015-02-24 06:00:00.297"
石門區,警察機關,保安警察第二總隊乾華分隊,新北市石門區茂林社區260號,02-26381392,,309763.984,2795833.779,"2015-02-24 06:00:00.297"
石門區,國民小學,市立石門國小,新北市石門區尖鹿里中央路9號,02-26381263,www.smes.ntpc.edu.tw,307074.890708,2798270.65252,"2015-02-24 06:00:00.297"
貢寮區,公所,貢寮區公所,新北市貢寮區朝陽街54號,02-24941601,www.gongliao.ntpc.gov.tw,341853.376,2768506.55,"2015-02-24 06:00:00.297"
板橋區,其他機關,板橋區農會,新北市板橋區府中路29號,02-89656868,www.pcfarm.org.tw,296276.0,2766779.0,"2015-02-24 06:00:00.297"
板橋區,其他機關,新北市板橋區調解委員會,新北市板橋區府後街11號2樓,02-29689901,,296316.15,2767004.14,"2015-02-24 06:00:00.297"
石門區,國民小學,市立老梅國小,新北市石門區老梅里老梅路10號,02-26381258,www.lmes.ntpc.edu.tw,304845.854212,2797889.54369,"2015-02-24 06:00:00.297"
石門區,國民小學,市立乾華國小,新北市石門區茂林里茂林社區74號,02-26381269,www.cwes.ntpc.edu.tw,309632.903637,2795681.91728,"2015-02-24 06:00:00.297"
石門區,戶政機關,新北市金山戶政事務所石門區所,新北市石門區中山路66號,02-26381307,www.shimen.ris.ntpc.gov.tw,307184.368,2798153.238,"2015-02-24 06:00:00.297"
石門區,衛生機關,新北市石門區衛生所,新北市石門區中山路28之1號,02-26429640,shimen.health.ntpc.gov.tw,306975.0,2797971.0,"2015-02-24 06:00:00.297"
石門區,消防機關,新北市石門消防分隊,新北市石門區尖鹿里中山路64之1號,02-26381619,www.fire.ntpc.gov.tw,307152.24387,2798084.59849,"2015-02-24 06:00:00.297"
石門區,國民中學,市立石門國中,新北市石門區中央路1之9號,02-26381340,www.smjh.ntpc.edu.tw,306768.887129,2798167.55869,"2015-02-24 06:00:00.297"
石門區,公共親子中心,石門老梅公共親子中心,新北市石門區老梅里老梅路10號,02-26381258分機13,NULL,304847.854212,2797887.54369,"2015-02-24 06:00:00.297"
三芝區,戶政機關,新北市金山戶政事務所三芝區所,新北市三芝區中興街一段43號,02-26362889,www.sanzhi.ris.ntpc.gov.tw,300135.136,2794394.286,"2015-02-24 06:00:00.297"
